Blackpool North,P,B, ,-,0603,-,-,-,0703,-,-,-,0903,-,-,1003,-,-,-,-,1203,-,-,-,1306,-,-,-,-,1505,-,-,1605,-,-,-,1803,-,-,-,1905,-,-,-,-,2101,2159,-
Poulton-le-Fylde,,,D,-,0608,-,-,-,0708,-,-,-,0908,-,-,1008,-,-,-,-,1208,-,-,-,1311,-,-,-,-,1510,-,-,1610,-,-,-,1808,-,-,-,1910,-,-,-,-,2107,2204,-
Kirkham & Wesham,P,B,D,-,0617,-,-,-,0717,-,-,-,0917,-,-,1017,-,-,-,-,1217,-,-,-,1320,-,-,-,-,1519,-,-,1619,-,-,-,1817,-,-,-,1919,-,-,-,-,2116,-,-
Preston (Lancs),P,,,-,0629,-,-,-,0730,-,-,-,0929,-,-,1029,-,-,-,-,1229,-,-,-,1332,-,-,-,-,1531,-,-,1631,-,-,-,1829,-,-,-,1931,-,-,-,-,2130,2224,-
Leyland,P,,,-,0634,-,-,-,0735,-,-,-,0935,-,-,1035,-,-,-,-,1235,-,-,-,1337,-,-,-,-,1536,-,-,1636,-,-,-,1934,-,-,-,1936,-,-,-,-,2136,2229,-
Euxton Balshaw Lane,P,B, ,-,0638,-,-,-,0739,-,-,-,0939,-,-,1039,-,-,-,-,1239,-,-,-,1341,-,-,-,-,1540,-,-,1640,-,-,-,1938,-,-,-,1940,-,-,-,-,2141,2233,-
Wigan North Western,,B, ,0621,0647,-,0721,-,0748,0821,-,0921,0948,-,1021,1048,-,1121,-,1221,1248,-,1321,-,1350,1421,-,1521,-,1550,1621,-,1650,1721,-,1821,1847,-,1921,-,1949,2021,-,2121,-,2151,2242,-
Bryn,P,B, ,0627,-,-,0727,-,-,0827,-,0927,-,-,1027,-,-,1127,-,1227,-,-,1327,-,-,1427,-,1527,-,-,1627,-,-,1727,-,1827,-,-,1927,-,-,2027,-,2127,-,-,2248,-
Garswood,P,B, ,0631,-,-,0731,-,0757,0831,-,0931,-,-,1031,-,-,1131,-,1231,-,-,1331,-,-,1431,-,1531,-,-,1631,-,-,1731,-,1831,-,-,1931,-,-,2031,-,2131,-,-,2252,-
St Helens Central,,, ,0638,0700,-,0738,-,0804,0838,-,0938,1001,-,1038,1100,-,1138,-,1238,1300,-,1338,-,1403,1438,-,1538,-,1602,1638,-,1704,1738,-,1838,1900,-,1938,-,2002,2038,-,2138,-,2204,2259,-
Thatto Heath,P,B, ,0642,-,-,0742,-,-,0843,-,0942,-,-,1042,-,-,1142,-,1242,-,-,1342,-,-,1442,-,1542,-,-,1642,-,-,1742,-,1842,-,-,1942,-,-,2042,-,2142,-,-,2303,-
Eccleston Park,P,B, ,0644,-,-,0744,-,-,0844,-,0944,-,-,1044,-,-,1144,-,1244,-,-,1344,-,-,1444,-,1544,-,-,1644,-,-,1744,-,1844,-,-,1944,-,-,2044,-,2144,-,-,2306,-
Prescot,P,B, ,0647,-,-,0747,-,0810,0847,-,0947,-,-,1047,-,-,1147,-,1247,-,-,1347,-,-,1447,-,1547,-,-,1647,-,-,1747,-,1847,-,-,1947,-,-,2047,-,2147,-,-,2308,-
Huyton,P,,D,0651,0707,0708,0753,0810,0816,0854,0910,0953,1008,1010,1051,1108,1109,1153,1209,1251,1308,1309,1351,1410,1411,1451,1509,1551,1609,1610,1651,1707,1711,1753,1813,1853,1907,1909,1953,2007,2009,2051,2108,2153,2208,2212,2313,2316
Roby,,B,D,0654,-,0710,0757,-,0818,0857,0912,0956,-,1012,1054,-,1115,1156,1211,1254,-,1311,1354,1415,-,1454,1511,1554,1613,-,1654,1709,-,1756,1815,1856,-,1911,1956,2013,-,2054,2110,2156,2210,2214,2315,2318
Broad Green,P,, ,0657,-,0713,0800,-,0821,0900,0915,0959,-,1015,1057,-,1118,1159,1214,1257,-,1314,1357,1418,-,1457,1514,1557,1616,-,1657,1712,-,1759,1818,1859,-,1914,1959,2017,-,2057,2115,2159,2213,2217,2318,2321
Wavertree Technology Park,,B,D,0702,-,0716,0803,-,0824,0903,0918,1002,-,1018,1100,-,1121,1202,1217,1300,-,1317,1400,1421,-,1500,1517,1600,1619,-,1700,1715,-,1802,1821,1902,-,1918,2002,2020,-,2100,2118,2202,2216,2220,2321,2324
Edge Hill,P,B,D,0705,-,0719,0806,-,0827,0906,0921,1005,-,1021,1103,-,1124,1205,1220,1303,-,1320,1403,1425,-,1503,1520,1603,1622,-,1703,1718,-,1805,1824,1905,-,1921,2005,2023,-,2103,2121,2205,2219,2224,2324,2327
Liverpool Lime Street,P,B, ,0711,0719,0725,0810,0821,0831,0910,0925,1010,1020,1026,1109,1120,1130,1209,1224,1309,1320,1324,1409,1431,1422,1509,1524,1609,1626,1621,1709,1723,1727,1809,1828,1909,1919,1925,2010,2027,2021,2109,2126,2210,2226,2230,2230,2333
