Liverpool Lime Street,P,B,D,0510,0616,0627,0715,0727,0736,0816,0827,0836,0915,0927,1015,1027,1036,1115,1127,1136,1215,1227,1315,1327,1337,1415,1427,1437,1515,1527,1615,1627,1636,1713,1717,1736,1813,1817,1914,1928,1936,2015,2027,2036,2115,2128,2215,2229,2305
Edge Hill,P,,,0514,0620,0631,0719,0731,-,0820,0831,-,0919,0931,1019,1031,-,1119,1131,-,1219,1231,1319,1331,-,1419,1431,-,1519,1531,1619,1631,-,1717,1721,-,1817,1821,1918,1932,-,2019,2031,-,2119,2132,2219,2233,2309
Wavertree Technology Park,P ,,D,-,0622,0633,0721,0733,-,0822,0833,-,0921,0933,1021,1033,-,1121,1133,-,1221,1233,1321,1333,-,1421,1433,-,1521,1533,1621,1633,-,1719,1723,-,1819,1823,1920,1934,-,2021,2033,-,2121,2134,2221,2235,2311
Broad Green,P,B,D,-,0625,0636,0724,0736,-,0825,0837,-,0924,0936,1024,1036,-,1124,1136,-,1225,1236,1324,1336,-,1424,1436,-,1524,1536,1624,1636,-,1722,1726,-,1822,1826,1923,1937,-,2024,2036,-,2124,2138,2224,2238,2314
Roby,P,,D,-,0628,0639,0727,0739,-,0828,0840,-,0927,0939,1027,1039,-,1127,1139,-,1228,1239,1327,1339,-,1427,1439,-,1527,1539,1627,1639,-,1725,1730,-,1825,1829,1927,1940,-,2027,2039,-,2127,2141,2227,2241,2317
Huyton,P,B,,0519,0631,0641,0730,0741,0745,0831,0842,0845,0930,0941,1030,1041,1045,1130,1141,1145,1230,1241,1330,1341,1350,1430,1441,1446,1530,1541,1630,1642,1645,1728,1739,1744,1828,1832,1930,1942,1945,2030,2041,2045,2130,2143,2230,2243,2320
Prescot,,B,,-,0635,-,0734,-,-,0835,-,-,0934,-,1034,-,-,1134,-,-,1234,-,1334,-,-,1434,-,-,1534,-,1634,-,-,1732,-,1748,1832,-,1934,-,-,2034,-,-,2134,-,2234,-,2324
Eccleston Park,P,B,D,-,0637,-,0736,-,-,0837,-,-,0936,-,1036,-,-,1136,-,-,1237,-,1336,-,-,1436,-,-,1536,-,1636,-,-,1734,-,1751,1834,-,1936,-,-,2036,-,-,2136,-,2236,-,2326
Thatto Heath,,B,D,-,0640,-,0739,-,-,0840,-,-,0939,-,1039,-,-,1139,-,-,1239,-,1339,-,-,1439,-,-,1539,-,1639,-,-,1737,-,1753,1837,-,1939,-,-,2039,-,-,2139,-,2239,-,2329
St Helens Central,,,D,-,0644,-,0743,-,0753,0844,-,0853,0943,-,1043,-,1053,1143,-,1153,1243,-,1343,-,1358,1443,-,1454,1543,-,1643,-,1653,1741,-,1757,1841,-,1943,-,1953,2043,-,2053,2143,-,2246,-,2333
Garswood,P,B,D,-,0650,-,0749,-,-,0850,-,-,0949,-,1049,-,-,1149,-,-,1249,-,1349,-,-,1449,-,-,1549,-,1649,-,-,1747,-,1804,1847,-,1949,-,-,2049,-,-,2149,-,2253,-,2339
Bryn,P,B,,-,0653,-,0752,-,-,0853,-,-,0952,-,1052,-,-,1152,-,-,1252,-,1352,-,-,1452,-,-,1552,-,1652,-,-,1750,-,1807,1850,-,1952,-,-,2052,-,-,2152,-,2256,-,2342
Wigan North Western,,B,,-,0702,-,0801,-,0806,0902,-,0906,1001,-,1101,-,1106,1201,-,1206,1301,-,1402,-,1411,1501,-,1507,1601,-,1702,-,1706,1759,-,1814,1859,-,2001,-,2006,2101,-,2106,2159,-,2304,-,2350
Euxton Balshaw Lane,,B,D,-,-,-,-,-,0815,-,-,0915,-,-,-,-,1116,-,-,1215,-,-,-,-,1420,-,-,1516,-,-,-,-,1715,-,-,1823,-,-,-,-,2015,-,-,2115,2208,-,-,-,-
Leyland,P,B,D,-,-,-,-,-,0819,-,-,0920,-,-,-,-,1120,-,-,1220,-,-,-,-,1428,-,-,1521,-,-,-,-,1720,-,-,1827,-,-,-,-,2019,-,-,2119,2212,-,-,-,-
Preston (Lancs),P,,,-,-,-,-,-,0830,-,-,0930,-,-,-,-,1131,-,-,1229,-,-,-,-,1437,-,-,1529,-,-,-,-,1729,-,-,1837,-,-,-,-,2031,-,-,2131,2222,-,-,-,-
Kirkham & Wesham,P,,,-,-,-,-,-,0839,-,-,0939,-,-,-,-,1140,-,-,1238,-,-,-,-,1446,-,-,1538,-,-,-,-,1738,-,-,1846,-,-,-,-,2040,-,-,2140,2231,-,-,-,-
Poulton-le-Fylde,P,,,-,-,-,-,-,0847,-,-,0947,-,-,-,-,1148,-,-,1248,-,-,-,-,1454,-,-,1547,-,-,-,-,1747,-,-,1854,-,-,-,-,2048,-,-,2148,2240,-,-,-,-
Blackpool North,P,B,D,-,-,-,-,-,0853,-,-,0953,-,-,-,-,1154,-,-,1254,-,-,-,-,1500,-,-,1553,-,-,-,-,1753,-,-,1900,-,-,-,-,2054,-,-,2154,2246,-,-,-,-
