Liverpool Lime Street,[P,B,D],0829,0913,1017,1115,1215,1315,1415,1515,1615,1715,1815,1912,2012,2114,2212,2315
Edge Hill,-,[B,D],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wavertree Technology Park,[P],-,-,0834,0918,1022,1120,1220,1320,1420,1520,1620,1720,1820,1917,2017,2119,2217,2320
Broad Green,-,[B],-,0837,0921,1025,1123,1223,1323,1423,1523,1623,1723,1823,1920,2020,2122,2220,2323
Roby,[P,-,D],0840,0924,1028,1126,1226,1326,1426,1526,1626,1726,1826,1923,2023,2125,2223,2326
Huyton,-,-,D],0842,0926,1030,1129,1229,1329,1428,1529,1629,1729,1829,1926,2026,2128,2226,2329
Prescot,[P,-,D],0846,0930,1035,1133,1233,1333,1432,1533,1633,1733,1833,1930,2030,2132,2230,2333
Eccleston Park,[P,B,D],0849,0932,1037,1135,1235,1335,1435,1535,1635,1735,1835,1932,2032,2134,2232,2335
Thatto Heath,[P,B,D],0852,0935,1040,1138,1238,1338,1437,1538,1638,1738,1838,1935,2035,2137,2235,2338
St Helens Central,[P,B,D],0856,0939,1044,1142,1242,1342,1441,1542,1642,1742,1842,1939,2039,2141,2239,2342
Garswood,[P,-,D],0902,0945,1051,1148,1248,1348,1448,1548,1648,1748,1848,1945,2045,2147,2245,2348
Bryn,-,[B,D],0905,0948,1054,1151,1251,1351,1451,1551,1651,1751,1851,1948,2048,2150,2248,2351
Wigan North Western,-,[B,-,0912,0955,1100,1158,1258,1358,1457,1558,1658,1758,1858,1955,2055,2157,2256,2358
Euxton Balshaw Lane,[P],-,-,0921,1004,1109,1207,1307,1407,1506,1607,1707,1807,1907,2004,2104,2206,2305,0007
Leyland,-,-,[D],0927,1010,1115,1213,1313,1413,1513,1613,1713,1813,1913,2010,2110,2212,2309,0011
Preston (Lancs),[P,-,D],0934,1017,1123,1220,1320,1420,1520,1620,1720,1820,1920,2017,2119,2219,2318,0020
Kirkham & Wesham,-,[B,D],0943,1026,1132,1229,1329,1429,1529,1629,1729,1829,1929,2026,2128,2228,2327,0029
Poulton-le-Fylde,[P,-,D],0952,1035,1140,1238,1338,1438,1538,1638,1738,1838,1938,2035,2128,2228,2327,0029
Blackpool North,[P,B,D],0958,1041,1146,1244,1344,1444,1544,1644,1744,1844,1944,2041,2143,2243,2342,0044
