Blackpool North,[P ,B,D],-,834,932,1033,1132,1226,1332,1432,1532,1632,1732,1832,1925,2032,2206
Poulton-le-Fylde,[P,B,D],-,840,938,1039,1138,1231,1338,1438,1538,1638,1738,1838,1931,2038,2212
Kirkham & Wesham,[B,,D],-,849,947,1048,1147,1240,1347,1447,1547,1647,1747,1847,1940,2047,2231
Preston (Lancs),[D],,,-,901,1000,1101,1201,1252,1400,1500,1600,1700,1800,1900,1953,2100,2233
Leyland,[P,B],,-,907,1006,1107,1208,1258,1406,1506,1606,1706,1806,1906,1959,2106,2238
Euxton Balshaw Lane,[B],,,-,911,1010,1111,1212,1304,1410,1510,1610,1710,1810,1910,2003,2110,2248
Wigan North Western,[B],,,842,920,1019,1120,1222,1313,1419,1519,1619,1719,1819,1919,2012,2119,2258
Bryn,[B,,D],848,926,1025,1126,1228,1319,1425,1525,1626,1725,1826,1925,2018,2125,2304
Garswood,[P,,D],851,930,1028,1130,1232,1322,1429,1529,1629,1729,1829,1929,2021,2128,2308
St Helens Central,[P,B,D],857,937,1035,1137,1239,1329,1436,1536,1636,1736,1836,1936,2028,2135,2315
Thatto Heath,[D],,,901,940,1039,1140,1242,1333,1439,1539,1640,1739,1840,1939,2032,2139,2319
Eccleston Park,[B,,D],903,943,1041,1143,1245,1335,1442,1542,1642,1742,1842,1942,2034,2141,2321
Prescot,[P],,,905,945,1043,1145,1247,1337,1444,1544,1644,1744,1844,1944,2036,2143,2323
Huyton,[P,B,D],909,951,1050,1151,1253,1348,1451,1550,1651,1750,1851,1950,2041,2152,2330
Roby,[P,B],,-,954,1052,1153,1256,1351,1453,1552,1653,1752,1853,1952,2043,2155,2332
Broad Green,[B],,,-,957,1056,1156,1259,1354,1456,1555,1656,1755,1856,1955,2046,2158,2335
Wavertree Technology Park,[B,,D],-,1000,1059,1159,1302,1357,1459,1558,1659,1758,1859,1958,2049,2201,2338
Edge Hill,[P,B,D],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Liverpool Lime Street,[P,,D],921,1006,1108,1206,1308,1403,1506,1605,1705,1805,1906,2005,2056,2208,2344
